TimeX,LossLogFY
-3.3059068,16.34919
-2.2995858,16.01099
-1.6988616,15.825051
-1.2685139,15.776847
-0.95280665,15.696635
-0.6940399,15.584509
-0.47227985,15.522366
-0.28386882,15.48395
-0.10136005,15.400602
0.05230635,15.349403
0.18658778,15.251317
0.31060433,15.15212
0.42434675,15.086783
0.53012365,14.94612
0.62716234,14.8551035
0.7193539,14.815649
0.8051818,14.731799
0.88952357,14.690926
0.96549594,14.653833
1.0412495,14.597062
1.1130482,14.5606575
1.1828744,14.527431
1.2484509,14.495727
1.308351,14.488519
1.3665584,14.471459
1.4216281,14.431439
1.475931,14.39293
1.5272548,14.328415
1.5782294,14.307916
1.6315625,14.296151
1.6788881,14.274408
1.7262951,14.245059
1.772804,14.200062
1.8151832,14.178393
1.8579911,14.157381
1.8982508,14.151115
1.9370397,14.143432
1.9748799,14.125462
2.0128427,14.109496
2.0482647,14.081079
2.0853095,14.072819
2.1191177,14.053
2.152364,14.036852
2.1860816,14.02181
2.217932,14.012642
2.2510922,14.009096
2.2839463,13.991162
2.3137956,13.982053
2.346354,13.974539
2.375297,13.968682
2.404445,13.962685
2.4317763,13.945932
2.4583983,13.931374
2.4849,13.905935
2.5105476,13.897633
2.5356994,13.888612
2.5604272,13.885313
2.5890138,13.881868
2.6136377,13.871885
2.637713,13.828746
2.6617417,13.800589
2.6862504,13.790522
2.711892,13.7829
2.7344208,13.761532
2.7573395,13.7518215
2.7816978,13.749764
2.803438,13.747599
2.8319929,13.738121
2.8535907,13.724179
2.8740764,13.713782
2.8942661,13.696098
2.9162288,13.687951
2.93537,13.679292
2.957262,13.671383
2.9760077,13.659676
2.9943128,13.658485
3.0133994,13.653005
3.0335453,13.65135
3.0516937,13.64787
3.0697157,13.629634
3.0917099,13.627883
3.1095533,13.622231
3.1275969,13.616453
3.144115,13.613931
3.1631107,13.60907
3.1803515,13.603895
3.199071,13.585141
3.2154844,13.583303
3.2316887,13.57316
3.2480235,13.567971
3.2651656,13.561595
3.2823699,13.557805
3.299068,13.556299
3.314378,13.5506
3.332578,13.550094
3.3492007,13.543333
3.3637733,13.541846
3.3805501,13.5399885
3.4004078,13.53123
3.4187388,13.526393
3.4333925,13.517795
3.4470935,13.511342
3.4610817,13.493827
3.4768243,13.490759
3.490063,13.483082
3.505737,13.478822
3.521493,13.476524
3.5358343,13.475099
3.548389,13.471672
3.5607028,13.468221
3.573615,13.464074
3.587515,13.461511
3.6011112,13.456607
3.6135447,13.450535
3.627339,13.450235
3.639119,13.420298
3.6507452,13.418637
3.6632733,13.414922
3.675326,13.413875
3.6873753,13.407439
3.6992528,13.398716
3.7142859,13.397506
3.725695,13.396865
3.7377205,13.387654
3.7523336,13.38528
3.7630188,13.37401
3.7741654,13.372197
3.784711,13.368019
3.7953703,13.3666935
3.8066516,13.366068
3.8182333,13.362936
3.8301044,13.358203
3.8422594,13.356764
3.8525043,13.353554
3.8638546,13.348445
3.8747058,13.347148
3.8848643,13.344458
3.8960817,13.339253
3.9091187,13.314962
3.9210258,13.3135605
3.9317324,13.311732
3.9418643,13.310868
3.9512653,13.309013
3.9606113,13.308264
3.9719286,13.30489
3.9815102,13.26728
3.99067,13.262102
4.00126,13.259439
4.013122,13.258099
4.023872,13.255861
4.0331945,13.245292
4.042109,13.231821
4.0513697,13.225481
4.060422,13.2224245
4.0691333,13.210034
4.078595,13.2089815
4.0878253,13.204976
4.097088,13.202445
4.1055894,13.198492
4.1251097,13.195512
4.134006,13.192854
4.142971,13.19038
4.1523023,13.186712
4.1606007,13.182357
4.1687346,13.17836
4.177792,13.170147
4.187401,13.169187
4.195367,13.164758
4.204444,13.161793
4.213199,13.161009
4.2217855,13.160322
4.2295947,13.144505
4.2378645,13.141107
4.246648,13.138876
4.2572207,13.136962
4.2647953,13.134854
4.272623,13.134767
4.2804117,13.13401
4.2887583,13.130689
4.299316,13.126637
4.306761,13.10275
4.3143573,13.099989
4.3222876,13.0978775
4.3297234,13.096838
4.337658,13.095151
4.345279,13.087587
4.352517,13.07606
4.3613043,13.0664835
4.373515,13.061335
4.3806906,13.058882
4.3897824,13.054032
4.3987584,13.047969
4.406404,13.04295
4.413741,13.037945
4.4206886,13.035771
4.4301667,13.0299
4.4371104,13.015777
4.444386,13.002467
4.451996,12.987681
4.459219,12.983653
4.4669003,12.9774475
4.473477,12.975791
4.480879,12.974637
4.48911,12.9683485
4.4971395,12.967193
4.5039763,12.956307
4.5110626,12.955442
4.5194783,12.949801
4.526203,12.944901
4.5324597,12.943416
4.540632,12.938234
4.549361,12.931715
4.5560446,12.928871
4.5626283,12.925582
4.5689144,12.919573
4.575426,12.917142
4.583076,12.915363
4.5892344,12.911811
4.596761,12.910736
4.6027136,12.90801
4.608949,12.898933
4.6151357,12.897561
4.6228266,12.894598
4.628741,12.890878
4.635546,12.882918
4.641487,12.881959
4.648942,12.875472
4.6548004,12.873822
4.6610093,12.871671
4.6668663,12.86873
4.673732,12.8672285
4.6800385,12.858495
4.6866074,12.842216
4.6944323,12.841679
4.7006907,12.835809
4.707687,12.834368
4.713284,12.83299
4.7214494,12.824935
4.7320004,12.823211
4.737614,12.820777
4.743166,12.820245
4.7491918,12.816482
4.755634,12.811298
4.761774,12.809076
4.7687,12.805215
4.7785773,12.802834
4.783891,12.800019
4.7895713,12.799444
4.795178,12.796294
4.8005238,12.79284
4.8067203,12.784394
4.812559,12.781057
4.818637,12.777116
4.823828,12.769661
4.829215,12.767539
4.83457,12.766758
4.8398166,12.764916
4.845054,12.764558
4.853633,12.760337
4.860202,12.758477
4.8652716,12.757227
4.872703,12.756323
4.8786187,12.75462
4.8854365,12.752711
